date time,date,time,seconds since 1970,Water Temperature @1.0m,CurrentDirection @7.0m,CurrentMagnitude @7.0m,Turbidity @26.0m,Water Pressure @26.0m,Water Temperature @26.0m,PAR @26.0m
2014-01-21T00:00:00+1000,21/01/2014,0:00:00,1.39E+09,28.4719,135.4458,0.2955,Not available,Not available,Not available,
2014-01-22T00:00:00+1000,22/01/2014,0:00:00,1.39E+09,28.4425,137.8208,0.2829,Not available,Not available,Not available,
2014-01-23T00:00:00+1000,23/01/2014,0:00:00,1.39E+09,28.4793,142.8479,0.2355,Not available,Not available,Not available,
2014-01-24T00:00:00+1000,24/01/2014,0:00:00,1.39E+09,28.5275,164.1125,0.1119,Not available,Not available,Not available,
2014-01-25T00:00:00+1000,25/01/2014,0:00:00,1.39E+09,28.7132,138.7792,0.1946,Not available,Not available,Not available,
2014-01-26T00:00:00+1000,26/01/2014,0:00:00,1.39E+09,28.6886,176.1861,0.2625,Not available,Not available,Not available,
2014-01-27T00:00:00+1000,27/01/2014,0:00:00,1.39E+09,28.4908,323.8099,0.4855,Not available,Not available,Not available,
2014-01-28T00:00:00+1000,28/01/2014,0:00:00,1.39E+09,28.3732,324.3482,0.497,Not available,Not available,Not available,
2014-01-29T00:00:00+1000,29/01/2014,0:00:00,1.39E+09,28.1935,296.248,3.1185,Not available,Not available,Not available,
2014-01-30T00:00:00+1000,30/01/2014,0:00:00,1.39E+09,27.8618,332.2258,0.6831,Not available,Not available,Not available,
2014-01-31T00:00:00+1000,31/01/2014,0:00:00,1.39E+09,27.6116,202.6799,0.4257,Not available,Not available,Not available,
2014-02-01T00:00:00+1000,1/02/2014,0:00:00,1.39E+09,28.0684,163.1472,0.2959,Not available,Not available,Not available,
2014-02-02T00:00:00+1000,2/02/2014,0:00:00,1.39E+09,27.9594,251.9861,0.3916,Not available,Not available,Not available,
2014-02-03T00:00:00+1000,3/02/2014,0:00:00,1.39E+09,27.6509,302.7229,0.3727,Not available,Not available,Not available,
2014-02-04T00:00:00+1000,4/02/2014,0:00:00,1.39E+09,27.5749,255.8896,0.1751,Not available,Not available,Not available,
2014-02-05T00:00:00+1000,5/02/2014,0:00:00,1.39E+09,27.5793,263.8111,0.1464,Not available,Not available,Not available,
2014-02-06T00:00:00+1000,6/02/2014,0:00:00,1.39E+09,27.5396,303.9757,0.2229,Not available,Not available,Not available,
2014-02-07T00:00:00+1000,7/02/2014,0:00:00,1.39E+09,27.4614,312.8479,0.2567,Not available,Not available,Not available,
2014-02-08T00:00:00+1000,8/02/2014,0:00:00,1.39E+09,27.4414,299.3722,0.2249,Not available,Not available,Not available,
2014-02-09T00:00:00+1000,9/02/2014,0:00:00,1.39E+09,27.626,177.8924,0.1613,Not available,Not available,Not available,
2014-02-10T00:00:00+1000,10/02/2014,0:00:00,1.39E+09,27.7505,195.5631,0.1712,Not available,Not available,Not available,
