date time,date,time,seconds since 1970,Water Temperature @1.0m,CurrentDirection @7.0m,CurrentMagnitude @7.0m,CurrentDirection @7.0m,Turbidity @26.0m,Water Pressure @26.0m,Water Temperature @26.0m,PAR @26.0m
2013-09-20T23:00:00+1000,20/09/2013,23:00:00,1.38E+09,24.43,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T23:15:00+1000,20/09/2013,23:15:00,1.38E+09,24.43,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T23:30:00+1000,20/09/2013,23:30:00,1.38E+09,24.43,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-20T23:45:00+1000,20/09/2013,23:45:00,1.38E+09,24.42,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T00:00:00+1000,21/09/2013,0:00:00,1.38E+09,24.42,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T00:15:00+1000,21/09/2013,0:15:00,1.38E+09,24.42,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T00:30:00+1000,21/09/2013,0:30:00,1.38E+09,24.41,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T00:45:00+1000,21/09/2013,0:45:00,1.38E+09,24.41,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T01:00:00+1000,21/09/2013,1:00:00,1.38E+09,24.41,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T01:15:00+1000,21/09/2013,1:15:00,1.38E+09,24.41,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T01:30:00+1000,21/09/2013,1:30:00,1.38E+09,24.4,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T01:45:00+1000,21/09/2013,1:45:00,1.38E+09,24.41,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T02:00:00+1000,21/09/2013,2:00:00,1.38E+09,24.4,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T02:15:00+1000,21/09/2013,2:15:00,1.38E+09,24.39,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T02:30:00+1000,21/09/2013,2:30:00,1.38E+09,24.4,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T02:45:00+1000,21/09/2013,2:45:00,1.38E+09,24.39,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T03:00:00+1000,21/09/2013,3:00:00,1.38E+09,24.39,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T03:15:00+1000,21/09/2013,3:15:00,1.38E+09,24.39,Not available,Not available,Not available,Not available,Not available,Not available,Not available
